,name,short_name,lat_dec,lon_dec,trap_depth_m,ocean,upwelling,reference,data_source,min_size_micron,max_size_micron,duration_days,all_species_counted,taxonomy,remarks,water_depth_m,open,close,N_pachyderma,G_bulloides,T_quinqueloba,G_glutinata,O_universa,G_scitula,G_white,G_ruber,G_siphonifera,P_obliquiloculata,G_truncatulinoides,G_inflata,G_hirsuta,N_dutertrei,G_crassaformis,T_sacculifer,G_rubescens,G_conglobatus,G_falconensis,N_incompta,G_tenellus,G_menardii,G_tumida,G_theyeri,T_parkerae,G_ungulata,G_calida,G_hexagonus,T_humilis,D_anfracta,B_digitata,H_pelagica,T_fleisheri,T_iota,G_uvula,S_dehiscens,C_nitida,G_adamsi,H_digitata,G_conglomerata,B_pumilio
11,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,23/08/1991 00:00,12/09/1991 00:00,25.6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,12/09/1991 00:00,02/10/1991 00:00,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,02/10/1991 00:00,27/11/1991 00:00,1194.55028,1030.531375,189.5657143,264.7438184,0,6.323097463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,27/11/1991 00:00,22/01/1992 00:00,265.2059528,104.1501025,31.53479492,146.1835595,3.361344538,2.707102953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,22/01/1992 00:00,19/03/1992 00:00,15.96881092,2.744639376,5.489278752,2.744639376,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,19/03/1992 00:00,08/04/1992 00:00,0,0,6.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,08/04/1992 00:00,28/04/1992 00:00,522.508642,52.85925926,30.97283951,45.11604938,0,7.743209877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,27/06/1992 00:00,17/07/1992 00:00,781.462069,27.75172414,14.23448276,14.23448276,0,7.117241379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,17/07/1992 00:00,31/07/1992 00:00,117.3333333,10.66666667,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,07/08/1992 00:00,23/08/1992 00:00,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
